ABUEB,ACTIVITY_PROFIL,AGREL,BLIND,BOIND,BOLRE,BOPNR,BSTAE,EIKTO,EKGRP,EKORG,ERDAT,ERNAM,EXPVZ,INCO1,INCO2,KALSK,KZABS,KZAUT,KZRET,LEBRE,LFABC,LFRHY,LIBES,LIFNR,LIPRE,LISER,LOEVM,MANDT,MEGRU,MEPRF,MINBW,MRPPP,NRGEW,OIA_SPLTIV,OIHANTYP,OIHVGROUP,OIMATCYC,PAPRF,PLIFZ,PRFRE,RDPRF,SKRIT,SPERM,STAGING_TIME,TELF1,TRANSPORT_CHAIN,UMSAE,VENDOR_RMA_REQ,VENSL,VERKF,VSBED,WAERS,WEBRE,XERSR,XERSY,XNBWY,ZOLLA,ZTERM
REL1,ACT1,"","",X,X,B001,5109,7699653599,306,IRJY,20250928,jamielewis,2,EXW,Bergburgh,01,X,X,X,X,C,354,"",1000002416,02,"","",100,GRP1,1,5707.92,527,"","",01,GR01,7,P001,6,X,R001,A,"",4,001-381-687-4620x0392,TRCHN001,"",X,4.4,Denise Wood,01,INR,"","",X,"",316854,0003
REL1,ACT1,"","","","",B001,2308,1289602321,490,FOY4,20250923,gparks,2,FOB,East Theresa,02,X,"","","",A,746,X,1000002478,01,X,"",100,GRP1,2,7042.76,253,"",X,01,GR01,2,P001,27,"",R001,A,X,3,359-231-9908,TRCHN001,"",X,2.4,Danielle Griffith,01,EUR,X,X,"","",312763,0002
REL1,ACT1,X,"",X,"",B001,9216,4871991010,160,6QK3,20250327,mariotran,1,CIF,East Timothy,02,X,X,X,X,A,941,X,1000002692,02,"","",100,GRP1,2,3297.14,229,X,X,01,GR01,6,P001,8,"",R001,B,X,2,(279)476-4071,TRCHN001,X,"",3.0,Christine Mcintosh,01,EUR,"",X,X,"",852918,0002
REL1,ACT1,"","","","",B001,8436,5314591336,905,YCFZ,20241118,david59,1,FOB,Lake Shawn,02,"","",X,"",C,822,X,1000003056,02,X,"",100,GRP1,2,6036.16,195,X,X,01,GR01,8,P001,23,"",R001,B,X,8,001-377-343-4913x881,TRCHN001,X,X,4.4,Alicia King,01,USD,"",X,X,X,903024,0002
REL1,ACT1,X,X,X,"",B001,1440,7699108109,591,61XS,20250401,uramirez,1,CIF,South Gregoryland,02,X,"","",X,B,390,X,1000003097,01,X,X,100,GRP1,1,2169.06,132,X,X,01,GR01,9,P001,8,X,R001,B,"",7,001-764-606-3530x02573,TRCHN001,"","",4.5,Kelli Trevino,01,USD,X,X,X,"",320572,0003
REL1,ACT1,X,X,"","",B001,2427,5924905272,544,DO51,20241024,maureen95,1,EXW,East Juliefurt,01,X,X,"","",A,388,"",1000003432,02,"","",100,GRP1,1,3138.72,404,X,X,01,GR01,3,P001,4,"",R001,B,X,9,609-845-5654x52446,TRCHN001,"","",2.1,Sheryl Gregory,01,EUR,X,"","",X,185654,0002
REL1,ACT1,X,X,X,X,B001,6427,2378517358,865,ZIY7,20250911,qnguyen,1,CIF,New Margaretberg,02,"",X,X,"",A,853,X,1000003461,02,"",X,100,GRP1,2,6781.32,287,X,"",01,GR01,7,P001,3,"",R001,B,X,4,001-906-908-6380x279,TRCHN001,X,"",4.6,Katherine Robinson,01,EUR,X,X,"","",242832,0001
REL1,ACT1,"",X,X,"",B001,7658,4500909764,480,TVDN,20250330,michaelallen,2,EXW,Sharonburgh,01,X,"",X,X,C,832,"",1000003484,02,"","",100,GRP1,1,8250.54,437,"","",01,GR01,4,P001,7,X,R001,B,X,9,+1-209-209-1644x62191,TRCHN001,"","",3.7,Jason Horn,01,USD,"",X,"",X,228926,0002
REL1,ACT1,"","","","",B001,8054,3755563891,685,8HYF,20251011,joseph34,1,EXW,South Natalie,02,X,X,X,X,B,994,"",1000003534,02,X,"",100,GRP1,1,4856.88,195,"","",01,GR01,9,P001,18,X,R001,A,"",10,+1-209-932-0565x1431,TRCHN001,X,"",2.1,Lauren Singh,01,INR,"","","","",277084,0003
REL1,ACT1,X,"",X,"",B001,4236,5848240310,634,8P6F,20240329,davisbrittany,2,CIF,New Aliciaton,02,X,"",X,"",C,165,"",1000003556,02,X,"",100,GRP1,1,6920.42,252,"","",01,GR01,7,P001,26,X,R001,B,X,1,3575509652,TRCHN001,"",X,2.5,Karen James,01,INR,X,"","",X,573693,0002
REL1,ACT1,"",X,X,"",B001,8444,4581075262,150,3MF3,20240324,michael40,2,FOB,Lake Joy,02,X,"",X,X,C,501,"",1000003678,01,X,"",100,GRP1,1,6549.61,432,X,"",01,GR01,8,P001,17,X,R001,A,X,5,543.875.6489,TRCHN001,X,"",4.7,Mrs. Christine Scott,01,EUR,X,"",X,X,675864,0001
REL1,ACT1,"","",X,X,B001,4329,5254466202,920,422T,20250203,laurie83,2,FOB,West Christopherside,02,X,X,X,X,C,339,"",1000003759,02,"",X,100,GRP1,2,9140.1,626,X,X,01,GR01,6,P001,26,X,R001,A,X,3,515-834-1805x25503,TRCHN001,"",X,2.6,Erin Thomas,01,EUR,X,X,X,"",536024,0003
REL1,ACT1,X,X,X,"",B001,3440,8578710037,263,DS7K,20241124,barrettholly,2,CIF,Porterview,02,"","","",X,A,889,"",1000003992,02,"",X,100,GRP1,1,2028.89,201,X,X,01,GR01,8,P001,16,X,R001,B,"",9,(827)899-0444x35159,TRCHN001,"",X,2.3,Jeremy Davis,01,EUR,X,X,"",X,114934,0002
REL1,ACT1,X,X,"",X,B001,4608,8407103612,892,9UZ1,20240917,ssilva,2,CIF,Isabellamouth,01,X,"","",X,A,156,"",1000004016,01,X,"",100,GRP1,2,4743.63,834,"","",01,GR01,2,P001,18,"",R001,B,X,7,529-346-3065,TRCHN001,"",X,4.4,Jasmine Neal,01,USD,"",X,X,X,867987,0003
REL1,ACT1,"",X,X,"",B001,2120,7914437577,577,XRDT,20240706,harrisashley,2,EXW,South Paulbury,01,"",X,X,"",B,387,X,1000004159,01,X,X,100,GRP1,1,7643.3,845,"",X,01,GR01,1,P001,3,X,R001,A,"",9,001-742-761-0351x42230,TRCHN001,X,X,2.6,Lauren Valentine,01,EUR,X,X,"",X,340162,0003
REL1,ACT1,"",X,X,X,B001,3247,5430785692,781,FZTG,20240329,kimberlybrown,2,FOB,New Susan,02,"",X,"",X,A,860,X,1000004348,01,X,X,100,GRP1,1,9266.55,762,X,X,01,GR01,6,P001,2,X,R001,A,"",6,2783151918,TRCHN001,X,X,2.4,Lauren Lane,01,INR,X,X,X,"",213202,0001
REL1,ACT1,X,X,"",X,B001,7499,2215557574,182,JEQA,20240320,ian33,1,CIF,Tiffanyview,02,"","",X,X,B,324,X,1000004471,01,X,X,100,GRP1,1,9779.43,683,X,X,01,GR01,8,P001,18,"",R001,B,X,6,+1-929-582-8941,TRCHN001,X,"",3.6,Nathan White,01,EUR,"",X,"","",818807,0002
REL1,ACT1,X,X,"","",B001,1858,7127670253,917,T4RK,20250204,zedwards,1,EXW,Millerstad,02,X,X,X,X,A,162,X,1000004508,01,X,X,100,GRP1,1,7780.11,944,"","",01,GR01,7,P001,24,X,R001,A,X,10,806-733-8621x4441,TRCHN001,X,X,4.1,Justin Sloan,01,EUR,"",X,"",X,361722,0001
REL1,ACT1,X,X,"","",B001,5138,1965437802,410,QY5F,20250612,owhite,2,CIF,Lake Christopher,01,"",X,X,X,C,477,"",1000004620,01,"",X,100,GRP1,1,2345.48,458,"","",01,GR01,5,P001,10,"",R001,A,X,8,(643)881-2397,TRCHN001,"",X,2.4,Jeff White,01,INR,X,"","",X,893211,0001
REL1,ACT1,"","",X,"",B001,7148,9424738448,825,FZCP,20241205,shawchristine,1,FOB,Port Jonathan,02,"","","","",A,772,"",1000004643,01,X,"",100,GRP1,1,9108.01,259,X,"",01,GR01,7,P001,17,"",R001,B,"",10,907-589-4048,TRCHN001,X,"",1.4,Kim Jones,01,USD,"",X,X,X,923922,0001
REL1,ACT1,"","","","",B001,9223,8259849891,830,7ZJ3,20250609,veronicabennett,1,CIF,South Samantha,01,"",X,"",X,A,687,X,1000005445,01,"","",100,GRP1,2,257.21,689,"",X,01,GR01,4,P001,25,"",R001,B,X,3,403-280-9446,TRCHN001,"",X,1.1,Scott House,01,EUR,"","",X,"",697814,0003
REL1,ACT1,"",X,"","",B001,9552,4621521054,324,EZQA,20240829,susanromero,1,FOB,Leefurt,02,"","",X,X,B,935,X,1000005938,02,"","",100,GRP1,2,1029.06,874,X,X,01,GR01,6,P001,11,X,R001,A,X,6,258.389.0993,TRCHN001,X,X,4.6,Miguel Murphy,01,USD,X,"",X,"",670804,0002
REL1,ACT1,X,X,"","",B001,9370,8543934991,900,M94W,20251011,jmiller,1,EXW,West Andre,02,X,"","","",C,638,X,1000006001,02,"","",100,GRP1,2,1339.95,831,X,X,01,GR01,5,P001,13,X,R001,B,"",2,4353309637,TRCHN001,"",X,2.3,Michelle Pope,01,EUR,"","","",X,698524,0002
REL1,ACT1,X,"",X,"",B001,9072,1857167266,265,6UAM,20260117,dustinbrowning,1,FOB,Raymondberg,02,"",X,"","",A,214,"",1000006153,01,"","",100,GRP1,2,4481.3,570,"","",01,GR01,2,P001,23,"",R001,B,X,4,436-789-1557x5704,TRCHN001,X,X,4.0,Carrie Burns,01,USD,"","",X,"",330003,0003
REL1,ACT1,X,"","",X,B001,2675,4672723735,458,ZJ71,20250402,lindsey78,1,FOB,Ashleymouth,02,X,"",X,X,A,840,X,1000006186,01,X,X,100,GRP1,1,5209.81,133,"","",01,GR01,7,P001,19,"",R001,B,X,6,7439669617,TRCHN001,"","",1.7,Bradley Mccall,01,INR,"","","","",710653,0002
REL1,ACT1,"","",X,X,B001,6070,8034629027,228,6KN0,20250331,amanda27,1,EXW,South Kevinstad,02,"",X,"","",A,311,X,1000006236,02,"","",100,GRP1,2,6480.37,176,X,"",01,GR01,7,P001,8,"",R001,A,X,4,(884)966-5686x124,TRCHN001,X,"",4.4,Keith Randall,01,EUR,"",X,X,X,157133,0002
REL1,ACT1,X,"",X,"",B001,1604,4316031972,786,MSY3,20250113,williamstyler,1,CIF,South Mandymouth,02,X,"","","",C,739,X,1000000872,01,"",X,100,GRP1,1,2811.4,902,X,"",01,GR01,7,P001,24,X,R001,A,"",3,001-638-924-4936,TRCHN001,X,X,1.7,Connie Foster,01,EUR,X,X,X,X,275050,0001
REL1,ACT1,"",X,X,"",B001,3152,6617716760,414,GHOH,20240429,veronica07,2,EXW,Lanceburgh,01,"","",X,X,B,479,"",1000000924,02,"",X,100,GRP1,2,8073.38,743,X,X,01,GR01,3,P001,13,X,R001,A,"",5,+1-668-244-8044,TRCHN001,"",X,3.6,Tracy Hall,01,EUR,"",X,X,X,512570,0001
REL1,ACT1,"",X,X,X,B001,5870,7758756302,366,6NYY,20241126,bcole,1,CIF,South Cassandra,02,"",X,"","",C,294,X,1000001007,02,X,"",100,GRP1,2,7460.27,518,"",X,01,GR01,5,P001,29,"",R001,A,"",10,+1-886-361-6764x451,TRCHN001,"","",1.0,Cassandra Alexander,01,EUR,"",X,X,X,626975,0003
REL1,ACT1,X,"","",X,B001,6788,3793982146,184,JCAT,20250204,rodriguezricky,2,EXW,Cassandratown,01,"",X,"","",B,802,"",1000001579,01,"","",100,GRP1,1,5695.84,120,"",X,01,GR01,6,P001,15,X,R001,A,"",3,697.473.0211x893,TRCHN001,"","",1.8,Nancy Buckley,01,USD,X,X,X,"",442431,0001
REL1,ACT1,X,"","",X,B001,5868,8586648259,164,FRPK,20260120,gmorgan,2,FOB,Lake Blakeburgh,02,"",X,"","",C,615,"",1000001666,02,X,X,100,GRP1,1,6372.92,780,X,X,01,GR01,1,P001,17,"",R001,B,"",3,(633)223-1901,TRCHN001,X,"",4.5,Theresa Harper,01,EUR,X,X,X,"",875177,0003
REL1,ACT1,X,"","",X,B001,9727,4862065252,545,2G24,20241128,powerstodd,2,FOB,Nicholsonbury,02,X,"",X,"",C,111,X,1000001713,02,"","",100,GRP1,2,9095.12,112,"",X,01,GR01,7,P001,21,"",R001,B,"",1,001-942-598-5697x363,TRCHN001,"",X,4.0,Kelly Young,01,INR,X,X,X,X,881101,0002
REL1,ACT1,X,"",X,"",B001,6447,5551271177,313,S65Q,20240930,edwardjefferson,2,EXW,Wagnerview,02,"",X,X,X,A,560,"",1000001953,01,X,X,100,GRP1,2,6953.8,282,"","",01,GR01,4,P001,2,X,R001,B,"",3,450.855.4545x17580,TRCHN001,X,X,4.1,Matthew Brown,01,INR,X,X,"",X,233305,0001
REL1,ACT1,X,"","","",B001,7980,7821930178,622,NAWN,20240228,travismichael,1,CIF,New Kenneth,01,"","","",X,A,920,X,1000001983,02,X,"",100,GRP1,1,4933.53,329,X,X,01,GR01,9,P001,28,X,R001,A,"",4,491.648.1763x182,TRCHN001,"","",3.9,Barry Hartman,01,INR,X,"",X,"",355830,0003
REL1,ACT1,X,X,X,X,B001,6273,5542845925,109,DDKO,20250313,kbray,2,EXW,South Lynnside,02,X,"",X,X,A,695,X,1000002163,02,X,X,100,GRP1,2,7009.48,320,"","",01,GR01,1,P001,20,X,R001,B,"",8,6457669069,TRCHN001,X,X,2.1,Terry Hall,01,USD,"",X,X,"",975055,0002
REL1,ACT1,X,X,X,"",B001,8110,3214829732,721,C1RH,20260112,jackhill,1,FOB,Lake Elizabethside,02,"","","",X,B,321,"",1000002220,01,X,X,100,GRP1,2,442.36,960,"","",01,GR01,6,P001,5,X,R001,A,X,3,834-475-4502x5668,TRCHN001,"","",3.2,Janet Smith,01,EUR,"","",X,"",779561,0002
REL1,ACT1,X,X,X,"",B001,2701,9239033715,220,PUSR,20241215,tevans,2,EXW,Collinsborough,02,X,X,"","",B,755,X,1000002514,01,"",X,100,GRP1,1,5204.82,404,X,X,01,GR01,4,P001,30,"",R001,B,X,7,001-785-711-7801,TRCHN001,"",X,2.1,Shawn Davis,01,EUR,X,X,"","",584770,0001
REL1,ACT1,X,X,"","",B001,7669,2672720954,551,NQ4O,20240711,josesmith,2,FOB,Mcbrideland,02,X,X,X,"",B,256,X,1000002621,01,"","",100,GRP1,2,7533.38,958,X,X,01,GR01,6,P001,11,"",R001,A,X,5,670.861.2152x664,TRCHN001,X,"",5.0,Ashley Miller,01,EUR,"",X,"",X,120758,0002
REL1,ACT1,X,"","",X,B001,3512,8966415369,591,LBO9,20240402,gcruz,1,EXW,North Sierraland,02,X,X,X,X,A,104,X,1000002888,02,X,"",100,GRP1,2,353.75,556,X,X,01,GR01,6,P001,27,X,R001,B,X,5,(283)456-2933,TRCHN001,"",X,3.0,Michelle Mendoza,01,USD,X,X,X,X,121000,0003
REL1,ACT1,"","",X,"",B001,9828,2714414766,144,KTSI,20250505,christopherdyer,2,EXW,Michaelborough,01,"","","",X,C,626,"",1000003185,02,X,"",100,GRP1,1,2827.82,865,X,X,01,GR01,5,P001,7,"",R001,B,X,8,439-399-7751,TRCHN001,X,X,2.9,Tracy Hunter,01,EUR,X,X,X,X,123537,0002
REL1,ACT1,X,X,"",X,B001,3607,5454762098,511,JWV2,20250504,kristine49,2,EXW,North Vanessastad,02,"",X,"","",A,502,X,1000003391,01,"","",100,GRP1,2,4240.84,214,"","",01,GR01,8,P001,5,X,R001,A,X,9,001-500-874-9284x0389,TRCHN001,"","",2.9,Julie Lawrence,01,INR,X,X,"","",251583,0003
REL1,ACT1,"",X,"",X,B001,4779,4487371598,477,2RNA,20240917,tatejulie,2,EXW,Walkerfort,01,X,X,X,"",A,568,X,1000003537,01,"",X,100,GRP1,2,363.44,371,"",X,01,GR01,3,P001,23,"",R001,B,X,2,324-967-2035x226,TRCHN001,X,X,2.6,Jeffrey Atkins,01,USD,"","",X,"",753370,0003
REL1,ACT1,"","",X,X,B001,1375,7140156504,671,DE2Y,20240414,austinjackson,1,CIF,Lake Cassandratown,01,X,"",X,X,C,970,X,1000003553,01,"",X,100,GRP1,1,8998.39,453,X,X,01,GR01,8,P001,27,X,R001,B,"",7,+1-349-696-0033x417,TRCHN001,"",X,2.0,Mark Torres,01,USD,X,X,X,X,390344,0003
REL1,ACT1,X,"","",X,B001,6464,8632816443,709,P9LB,20250610,amanda59,2,CIF,Michaelfurt,02,"",X,"","",B,327,"",1000003575,01,"",X,100,GRP1,2,1494.64,869,"",X,01,GR01,6,P001,25,"",R001,B,X,9,610-568-4108,TRCHN001,X,"",4.0,Brian Mcdonald,01,USD,X,"",X,"",568542,0001
REL1,ACT1,X,"","","",B001,8153,6771211323,729,HQ6D,20241007,tbrowning,1,FOB,North Jasmine,01,"",X,"",X,A,508,X,1000003611,01,"",X,100,GRP1,1,601.57,280,X,"",01,GR01,5,P001,5,X,R001,A,"",5,001-300-247-9643x13404,TRCHN001,X,"",1.4,Alicia Berger,01,EUR,X,X,"","",365986,0003
REL1,ACT1,X,X,"",X,B001,9142,5890090213,750,GGHT,20251213,steve72,1,CIF,South Kyleborough,02,X,"","",X,A,610,X,1000003658,02,X,"",100,GRP1,2,3312.57,994,X,X,01,GR01,4,P001,26,X,R001,A,"",10,(464)842-1499x9530,TRCHN001,X,"",4.3,Travis Gray,01,INR,X,X,X,"",903448,0001
REL1,ACT1,X,"",X,"",B001,6491,3180750804,683,ROYR,20241227,rjacobs,1,FOB,Lake Theresa,02,"","",X,"",C,472,"",1000004042,01,X,X,100,GRP1,2,5825.9,662,"",X,01,GR01,6,P001,8,"",R001,A,X,6,327-650-6939x16099,TRCHN001,X,"",3.5,Tanya Stafford,01,INR,"",X,X,"",403104,0002
REL1,ACT1,X,X,"",X,B001,1866,2606152938,835,3SM1,20240706,jflores,1,CIF,Dodsonstad,01,X,X,X,X,B,549,"",1000004101,02,X,"",100,GRP1,2,7210.77,626,X,X,01,GR01,5,P001,16,"",R001,A,X,7,+1-858-700-4097x423,TRCHN001,X,X,4.2,Andrea Malone,01,EUR,X,"","",X,170149,0002
REL1,ACT1,X,"","","",B001,4688,6932072258,220,8LM7,20240619,smithchristina,2,FOB,Port Adambury,01,X,"",X,"",B,450,X,1000004175,01,"","",100,GRP1,2,5281.42,565,X,X,01,GR01,1,P001,20,"",R001,B,"",3,(466)296-7043x235,TRCHN001,X,"",1.2,Kyle Morris,01,USD,"","",X,"",401814,0003
REL1,ACT1,X,"",X,X,B001,4185,2955076380,659,S51P,20241109,taylorjohn,2,FOB,Port Michaelport,02,X,X,"","",A,502,X,1000004280,01,X,"",100,GRP1,1,9466.99,245,"","",01,GR01,4,P001,25,X,R001,B,X,4,001-524-648-3192x4448,TRCHN001,X,"",5.0,Donald Henry,01,EUR,"","",X,"",289971,0001
REL1,ACT1,X,X,"","",B001,5723,6535767710,466,RP1I,20240726,george17,2,CIF,Clarkview,02,"","",X,"",A,571,"",1000004316,02,"",X,100,GRP1,2,1558.24,230,"","",01,GR01,7,P001,5,"",R001,B,X,8,(916)538-0661x807,TRCHN001,"","",4.9,John Ramos,01,EUR,"","",X,X,891604,0003
REL1,ACT1,"","","",X,B001,6272,7494603706,713,SFN0,20250409,jamestaylor,1,CIF,Port Melissastad,02,X,"","",X,A,566,"",1000004513,01,"",X,100,GRP1,2,3643.77,625,"","",01,GR01,5,P001,11,X,R001,A,"",2,811.210.1557x2371,TRCHN001,"",X,1.8,Helen Thomas,01,EUR,"",X,"",X,503618,0002
REL1,ACT1,"","",X,"",B001,3370,5062763466,620,WVIY,20240707,zmartin,1,CIF,North Michael,02,"",X,"","",B,708,"",1000004640,01,X,X,100,GRP1,1,1199.56,974,"","",01,GR01,9,P001,28,"",R001,A,"",9,463-204-4499x884,TRCHN001,X,X,4.6,Kelly Perez,01,EUR,"",X,"","",671301,0001
REL1,ACT1,"",X,X,X,B001,2458,6873677314,872,WVLC,20250819,carrie14,1,EXW,Middletonton,02,"",X,"",X,B,500,X,1000004999,01,"",X,100,GRP1,2,6731.93,655,X,"",01,GR01,1,P001,2,"",R001,A,X,7,819-860-2681x96946,TRCHN001,"",X,2.4,Sharon Spence,01,USD,X,X,"","",115882,0003
REL1,ACT1,X,"","","",B001,9728,3156343662,492,B26X,20240923,alyssa22,1,EXW,West Taylor,01,X,X,"",X,C,181,X,1000005063,02,X,X,100,GRP1,2,5259.71,254,"","",01,GR01,3,P001,20,"",R001,A,X,5,+1-938-750-6365,TRCHN001,"",X,4.2,Matthew Miranda,01,EUR,X,"",X,X,245747,0003
REL1,ACT1,X,X,"","",B001,8750,3689654896,438,17X6,20241029,leon64,2,EXW,Kyleton,01,"",X,"","",A,429,X,1000005214,01,X,X,100,GRP1,1,4946.61,218,X,"",01,GR01,9,P001,3,"",R001,A,X,1,(497)375-3995x97980,TRCHN001,"",X,1.9,Heather Daniels,01,EUR,"","",X,X,621775,0002
REL1,ACT1,"","",X,X,B001,5184,6134741638,715,ZFZZ,20240624,hrollins,1,CIF,Berryside,02,"",X,X,"",B,618,"",1000005351,01,X,"",100,GRP1,2,5227.01,209,X,"",01,GR01,8,P001,12,X,R001,B,"",4,(579)725-9862x7212,TRCHN001,"",X,2.9,Paul Jensen,01,USD,X,"","",X,335124,0003
REL1,ACT1,"","","","",B001,9683,1077436666,206,7Y6Z,20250313,zmoore,1,FOB,Christinaview,02,X,"","",X,B,520,"",1000005406,02,"","",100,GRP1,1,1836.11,899,"","",01,GR01,6,P001,20,"",R001,B,X,10,205.312.8684x93051,TRCHN001,X,X,3.1,Keith Keith,01,INR,"",X,"","",558921,0003
REL1,ACT1,"",X,"","",B001,5164,4109670873,494,TLCX,20240806,sarah46,2,FOB,Brownborough,02,X,X,X,"",C,438,X,1000006028,01,"",X,100,GRP1,2,650.54,506,X,X,01,GR01,8,P001,17,"",R001,B,"",7,203-252-6165x83982,TRCHN001,X,X,2.8,Samuel Lyons,01,EUR,X,"",X,"",304218,0002
REL1,ACT1,"",X,X,X,B001,7288,5312181973,712,DODW,20240804,millernancy,1,CIF,East Kathleen,01,"",X,X,"",B,820,X,1000006088,02,X,"",100,GRP1,2,6446.86,583,"","",01,GR01,6,P001,28,X,R001,A,"",3,8952143896,TRCHN001,"",X,4.0,Sophia Baker,01,USD,X,X,X,X,811388,0003
REL1,ACT1,X,"","",X,B001,8114,4182267445,746,U699,20250302,johnphillips,1,EXW,Kaitlynburgh,01,X,"",X,X,A,908,"",1000006100,02,"","",100,GRP1,1,4734.33,124,"",X,01,GR01,1,P001,3,X,R001,B,"",4,+1-296-538-7224x41844,TRCHN001,"",X,4.5,Richard Gonzales,01,INR,X,X,"","",778333,0002
REL1,ACT1,X,X,X,"",B001,7090,7453820869,554,2A6P,20250711,ericaglass,2,EXW,Wilsonland,02,X,"","",X,C,872,X,1000006194,01,"","",100,GRP1,2,5075.31,463,"","",01,GR01,1,P001,20,X,R001,A,"",4,248-253-7057x62183,TRCHN001,"","",3.8,Patricia Boyd,01,EUR,X,X,"","",513055,0003
REL1,ACT1,X,X,"","",B001,1552,4940278457,281,GLBD,20241204,kevin48,2,EXW,Jamesside,01,"","",X,"",A,575,X,1000006283,02,X,X,100,GRP1,1,2134.01,702,X,X,01,GR01,7,P001,13,"",R001,B,"",6,001-412-451-7359,TRCHN001,"",X,2.0,Benjamin Williams,01,USD,"",X,X,"",654237,0003
REL1,ACT1,"",X,"","",B001,1827,3804760075,855,Y0NX,20240524,qlong,2,CIF,Port Matthewhaven,01,X,X,"","",C,746,X,1000000014,02,"",X,100,GRP1,1,429.32,852,"",X,01,GR01,3,P001,7,X,R001,B,X,4,822.863.7825x575,TRCHN001,X,X,3.6,Brenda Cook,01,EUR,X,"","","",340636,0002
