Customer ID,Market,Product ID,Material,Market Segment,Market Segment Owner,Remaining Shelf Life,Lead Time Days,Customs Status
ES,ES,MAT_100492,MAT_100492,Incyte,Susan Stevenson,15,10,Pending
CH,CH,MAT_100933,MAT_100933,Direct Distribution,Vanessa Moody,9,20,Pending
NL,NL,MAT_100265,MAT_100265,Direct Distribution,Alan Jordan,13,4,Exempt
AMER_REG,AMER_REG,MAT_100675,MAT_100675,Incyte,John Soto,33,30,Pending
GLOBAL_CORP,GLOBAL_CORP,MAT_100217,MAT_100217,Direct Distribution,Shannon Potts,30,32,Cleared
ES,ES,MAT_100596,MAT_100596,Partner,Denise Hernandez,36,30,Cleared
BR,BR,MAT_100474,MAT_100474,Partner,Gregory Miller,28,9,Pending
AU,AU,MAT_100555,MAT_100555,Direct Distribution,Miguel Barton,36,13,Pending
AMER_REG,AMER_REG,MAT_100569,MAT_100569,Incyte,Matthew Jones,30,21,Pending
AMER_REG,AMER_REG,MAT_100750,MAT_100750,Affiliate,Nathan Burke,26,8,Pending
DE,DE,MAT_100894,MAT_100894,Affiliate,Stephanie Martinez,25,43,Exempt
EMEA_REG,EMEA_REG,MAT_100702,MAT_100702,Direct Distribution,Danny Morgan,17,31,Cleared
APAC_REG,APAC_REG,MAT_100342,MAT_100342,Partner,Andrew Jones,20,40,Cleared
DE,DE,MAT_100181,MAT_100181,Incyte,Laura Bowman MD,16,40,Pending
GLOBAL_CORP,GLOBAL_CORP,MAT_100568,MAT_100568,Partner,Lisa Jones,32,18,Pending
DE,DE,MAT_100711,MAT_100711,Direct Distribution,John Gardner,23,14,Pending
LATAM_REG,LATAM_REG,MAT_100551,MAT_100551,Partner,Charles Cuevas,13,36,Exempt
DE,DE,MAT_100669,MAT_100669,Direct Distribution,Kenneth Garrett,24,40,Pending
FR,FR,MAT_100061,MAT_100061,Affiliate,Mrs. Carolyn Ryan MD,23,28,Pending
CH,CH,MAT_100182,MAT_100182,Affiliate,Brittany Nguyen,18,37,Exempt
GB,GB,MAT_100861,MAT_100861,Affiliate,Paige Flores,6,9,Exempt
CA,CA,MAT_100905,MAT_100905,Partner,Tara Mckay DVM,12,38,Pending
AMER_REG,AMER_REG,MAT_100768,MAT_100768,Incyte,Carlos Williams,21,25,Exempt
CN,CN,MAT_100725,MAT_100725,Direct Distribution,Nicole Clark,18,37,Pending
EMEA_REG,EMEA_REG,MAT_100776,MAT_100776,Partner,Robert Tucker,10,44,Pending
GLOBAL_CORP,GLOBAL_CORP,MAT_100259,MAT_100259,Direct Distribution,Tiffany Espinoza,8,33,Cleared
APAC_REG,APAC_REG,MAT_100494,MAT_100494,Incyte,Virginia Martinez,26,16,Cleared
CN,CN,MAT_100592,MAT_100592,Affiliate,Kristina Rich,32,7,Exempt
JP,JP,MAT_100736,MAT_100736,Incyte,Sara Davila,23,7,Cleared
BR,BR,MAT_100881,MAT_100881,Direct Distribution,Brian Juarez,7,13,Pending
ES,ES,MAT_100436,MAT_100436,Incyte,Eric Marshall,19,6,Pending
EMEA_REG,EMEA_REG,MAT_100416,MAT_100416,Incyte,Roger Brooks,31,29,Cleared
GLOBAL_CORP,GLOBAL_CORP,MAT_100051,MAT_100051,Affiliate,Troy Swanson,30,12,Exempt
GLOBAL_CORP,GLOBAL_CORP,MAT_100121,MAT_100121,Partner,Ann Greene,22,23,Exempt
BR,BR,MAT_100473,MAT_100473,Direct Distribution,Ian Berg,35,7,Pending
SG,SG,MAT_100497,MAT_100497,Partner,Nicole Brown,32,36,Pending
APAC_REG,APAC_REG,MAT_100678,MAT_100678,Incyte,Julie Kennedy,23,6,Cleared
US,US,MAT_100592,MAT_100592,Direct Distribution,Mary Russo,16,5,Cleared
BR,BR,MAT_100526,MAT_100526,Direct Distribution,Gilbert Garcia,30,32,Cleared
SG,SG,MAT_100396,MAT_100396,Partner,George Chen,14,43,Exempt
ES,ES,MAT_100780,MAT_100780,Partner,Daryl Brooks,22,16,Pending
LATAM_REG,LATAM_REG,MAT_100445,MAT_100445,Affiliate,Leonard Bush,16,27,Pending
LATAM_REG,LATAM_REG,MAT_100633,MAT_100633,Incyte,Tara Rogers,17,17,Exempt
CA,CA,MAT_100056,MAT_100056,Affiliate,Eric Jackson,17,5,Cleared
LATAM_REG,LATAM_REG,MAT_100356,MAT_100356,Partner,Nicholas Rice,6,40,Cleared
FR,FR,MAT_100097,MAT_100097,Affiliate,Alicia Miller,13,17,Cleared
GLOBAL_CORP,GLOBAL_CORP,MAT_100663,MAT_100663,Affiliate,Courtney Rodriguez,19,20,Pending
ES,ES,MAT_101000,MAT_101000,Direct Distribution,Patrick Kirby,25,27,Pending
GB,GB,MAT_100044,MAT_100044,Partner,Margaret Mcdonald,36,44,Cleared
JP,JP,MAT_100326,MAT_100326,Direct Distribution,Dawn Little,33,41,Pending
GB,GB,MAT_100212,MAT_100212,Partner,Amber Snyder,15,6,Cleared
DE,DE,MAT_100053,MAT_100053,Direct Distribution,William Alvarado,20,16,Exempt
AMER_REG,AMER_REG,MAT_100216,MAT_100216,Incyte,Kevin Crawford,18,15,Exempt
NL,NL,MAT_100682,MAT_100682,Affiliate,James Taylor,11,42,Pending
GB,GB,MAT_100507,MAT_100507,Affiliate,Lindsey Charles,7,19,Cleared
APAC_REG,APAC_REG,MAT_100819,MAT_100819,Partner,Mrs. Jessica Joseph,22,45,Exempt
AMER_REG,AMER_REG,MAT_100337,MAT_100337,Affiliate,Carlos Berry,24,18,Cleared
IN,IN,MAT_100415,MAT_100415,Partner,Joseph Mcfarland,11,6,Pending
AMER_REG,AMER_REG,MAT_100068,MAT_100068,Direct Distribution,Alicia Hart,15,31,Pending
IT,IT,MAT_100002,MAT_100002,Affiliate,Sandra Morris,10,30,Pending
JP,JP,MAT_100056,MAT_100056,Direct Distribution,Jean Baker,9,13,Pending
AU,AU,MAT_100850,MAT_100850,Incyte,Brenda Cantu,13,36,Cleared
SG,SG,MAT_100486,MAT_100486,Partner,Casey Cummings,31,24,Cleared
APAC_REG,APAC_REG,MAT_100213,MAT_100213,Partner,Dawn Santos,34,9,Cleared
JP,JP,MAT_100534,MAT_100534,Affiliate,Marilyn Burke,34,27,Exempt
CH,CH,MAT_100159,MAT_100159,Incyte,David Rodriguez,16,2,Exempt
AMER_REG,AMER_REG,MAT_100667,MAT_100667,Incyte,Jennifer Johnson,9,28,Exempt
AU,AU,MAT_100098,MAT_100098,Direct Distribution,Nicholas Neal,13,20,Cleared
IT,IT,MAT_100153,MAT_100153,Affiliate,Charles Cruz,17,26,Pending
AMER_REG,AMER_REG,MAT_100181,MAT_100181,Incyte,Mariah Lynch,16,12,Exempt
IN,IN,MAT_100516,MAT_100516,Partner,Julia Martinez,31,21,Pending
AMER_REG,AMER_REG,MAT_100338,MAT_100338,Affiliate,Terri Kelly,20,22,Exempt
CN,CN,MAT_100127,MAT_100127,Partner,Richard Cook,35,44,Cleared
FR,FR,MAT_100749,MAT_100749,Partner,Gilbert Alvarado,11,28,Pending
BR,BR,MAT_100645,MAT_100645,Direct Distribution,Gabrielle Obrien,36,13,Pending
IN,IN,MAT_100140,MAT_100140,Affiliate,Cassie Steele DDS,30,7,Pending
GB,GB,MAT_100786,MAT_100786,Incyte,Alexis Kline,24,27,Cleared
CA,CA,MAT_100658,MAT_100658,Affiliate,Heather Powers,33,40,Pending
ES,ES,MAT_100442,MAT_100442,Direct Distribution,Angel Jackson,33,13,Cleared
JP,JP,MAT_100453,MAT_100453,Partner,Mr. Kenneth Rodriguez,22,31,Pending
BR,BR,MAT_100428,MAT_100428,Direct Distribution,Abigail Williams,22,36,Pending
DE,DE,MAT_100603,MAT_100603,Incyte,Stacey Hancock,9,20,Exempt
DE,DE,MAT_100970,MAT_100970,Partner,Richard Thompson,8,3,Pending
GB,GB,MAT_100090,MAT_100090,Affiliate,Thomas Robbins,23,33,Exempt
LATAM_REG,LATAM_REG,MAT_100270,MAT_100270,Partner,James Carpenter,9,42,Pending
ES,ES,MAT_100777,MAT_100777,Direct Distribution,Olivia Miller,23,22,Pending
NL,NL,MAT_100976,MAT_100976,Partner,Brian Rowe,33,12,Cleared
AMER_REG,AMER_REG,MAT_100348,MAT_100348,Partner,Christopher Howard,21,34,Pending
EMEA_REG,EMEA_REG,MAT_100148,MAT_100148,Partner,Lisa Vargas,34,40,Cleared
NL,NL,MAT_100085,MAT_100085,Direct Distribution,Reginald Brown,36,35,Pending
IT,IT,MAT_100829,MAT_100829,Direct Distribution,Michael Davis,35,32,Cleared
US,US,MAT_100719,MAT_100719,Direct Distribution,Kevin Mckee,20,9,Exempt
FR,FR,MAT_100290,MAT_100290,Incyte,John Davies,26,5,Pending
NL,NL,MAT_100216,MAT_100216,Incyte,Jasmine Sullivan,17,16,Cleared
BR,BR,MAT_100377,MAT_100377,Direct Distribution,Miguel Russell,28,18,Pending
ES,ES,MAT_100516,MAT_100516,Partner,Brittany Hernandez,26,11,Exempt
GLOBAL_CORP,GLOBAL_CORP,MAT_100280,MAT_100280,Direct Distribution,Mary Duncan,12,20,Pending
FR,FR,MAT_100632,MAT_100632,Affiliate,Tonya Manning,30,15,Pending
GB,GB,MAT_100448,MAT_100448,Incyte,Larry Beck,9,13,Cleared
EMEA_REG,EMEA_REG,MAT_100715,MAT_100715,Direct Distribution,Beth Gray,15,7,Cleared
NL,NL,MAT_100996,MAT_100996,Direct Distribution,Summer Wright,36,16,Exempt
CH,CH,MAT_100400,MAT_100400,Direct Distribution,Jeffrey Rodriguez,32,39,Exempt
GB,GB,MAT_100977,MAT_100977,Direct Distribution,Philip Oconnor,11,34,Exempt
FR,FR,MAT_100867,MAT_100867,Direct Distribution,Mary Cross,14,3,Cleared
AU,AU,MAT_100037,MAT_100037,Affiliate,Anthony Jimenez,25,39,Exempt
ES,ES,MAT_100682,MAT_100682,Incyte,Kenneth Barnett,9,13,Exempt
AU,AU,MAT_100778,MAT_100778,Direct Distribution,Diane Floyd,17,7,Exempt
JP,JP,MAT_100901,MAT_100901,Affiliate,Barbara Ramirez,30,27,Exempt
FR,FR,MAT_100923,MAT_100923,Affiliate,Joseph Brady,22,10,Exempt
ES,ES,MAT_100037,MAT_100037,Affiliate,Alexandra Hernandez,14,31,Exempt
LATAM_REG,LATAM_REG,MAT_100576,MAT_100576,Incyte,Lisa Delacruz,24,38,Exempt
CH,CH,MAT_100507,MAT_100507,Incyte,Alyssa Montes,10,39,Cleared
BR,BR,MAT_100443,MAT_100443,Direct Distribution,Walter Pierce,24,44,Pending
IT,IT,MAT_100116,MAT_100116,Partner,Tracey Turner,14,31,Pending
FR,FR,MAT_100603,MAT_100603,Partner,Isaac Cook,35,8,Exempt
US,US,MAT_100883,MAT_100883,Incyte,Ellen Martin,25,22,Pending
AMER_REG,AMER_REG,MAT_100505,MAT_100505,Direct Distribution,Robin Cisneros,9,7,Exempt
JP,JP,MAT_100293,MAT_100293,Partner,Danny Rice,21,26,Pending
CH,CH,MAT_100590,MAT_100590,Affiliate,Ashley Boyd,29,12,Exempt
EMEA_REG,EMEA_REG,MAT_100312,MAT_100312,Affiliate,Andrea Patel,25,35,Cleared
APAC_REG,APAC_REG,MAT_100112,MAT_100112,Direct Distribution,Susan Moreno,12,14,Exempt
CA,CA,MAT_100225,MAT_100225,Direct Distribution,Heather Moon,21,37,Pending
AU,AU,MAT_100343,MAT_100343,Incyte,Kristen Anderson,22,44,Pending
IN,IN,MAT_100542,MAT_100542,Direct Distribution,Jason Mejia,12,23,Exempt
SG,SG,MAT_100896,MAT_100896,Direct Distribution,Nicholas Mccarthy,27,25,Pending
CA,CA,MAT_100315,MAT_100315,Direct Distribution,Tyler West,25,8,Pending
GB,GB,MAT_100363,MAT_100363,Incyte,Kimberly Thomas,18,16,Exempt
IT,IT,MAT_100887,MAT_100887,Incyte,Mark Pugh,29,31,Exempt
NL,NL,MAT_100802,MAT_100802,Direct Distribution,Larry Reynolds,8,35,Exempt
AU,AU,MAT_100484,MAT_100484,Partner,Shannon Williams,22,30,Cleared
DE,DE,MAT_100531,MAT_100531,Direct Distribution,Cody Walker,6,32,Exempt
GB,GB,MAT_100415,MAT_100415,Affiliate,Renee Giles,29,29,Exempt
EMEA_REG,EMEA_REG,MAT_100785,MAT_100785,Incyte,Mark Keller,15,29,Exempt
CA,CA,MAT_100774,MAT_100774,Affiliate,Shannon Rios,6,6,Pending
AMER_REG,AMER_REG,MAT_100073,MAT_100073,Direct Distribution,Andrew Fisher,31,24,Cleared
CN,CN,MAT_100950,MAT_100950,Affiliate,Philip Yoder,25,9,Cleared
SG,SG,MAT_100616,MAT_100616,Direct Distribution,Victoria Hill,34,31,Cleared
CA,CA,MAT_100783,MAT_100783,Direct Distribution,Shelley Roberson,9,10,Exempt
LATAM_REG,LATAM_REG,MAT_100912,MAT_100912,Affiliate,Zachary Ali,22,24,Exempt
AU,AU,MAT_100170,MAT_100170,Incyte,Christine Davis,11,31,Exempt
GLOBAL_CORP,GLOBAL_CORP,MAT_100373,MAT_100373,Affiliate,Priscilla Kelly,12,21,Exempt
JP,JP,MAT_100948,MAT_100948,Direct Distribution,Thomas Martinez,24,44,Pending
EMEA_REG,EMEA_REG,MAT_100566,MAT_100566,Direct Distribution,Christine Decker,36,26,Cleared
SG,SG,MAT_100477,MAT_100477,Partner,Karl Coleman,22,39,Pending
GB,GB,MAT_100160,MAT_100160,Partner,Grace Jones,12,8,Exempt
AU,AU,MAT_100157,MAT_100157,Affiliate,Thomas Daniels,8,5,Cleared
FR,FR,MAT_100496,MAT_100496,Partner,Christine Sanders,9,2,Exempt
US,US,MAT_100249,MAT_100249,Partner,Dennis Robertson,8,34,Cleared
GB,GB,MAT_100250,MAT_100250,Affiliate,Larry Edwards,26,16,Pending
LATAM_REG,LATAM_REG,MAT_100602,MAT_100602,Partner,Peter Kelly,13,18,Exempt
EMEA_REG,EMEA_REG,MAT_100093,MAT_100093,Partner,Amanda Johnson,13,45,Exempt
ES,ES,MAT_100244,MAT_100244,Incyte,Paul Hobbs,31,37,Exempt
US,US,MAT_100314,MAT_100314,Incyte,Victoria Smith,26,6,Exempt
IT,IT,MAT_100261,MAT_100261,Incyte,Ashley Murphy,20,26,Exempt
DE,DE,MAT_100130,MAT_100130,Partner,Jane Thomas,8,31,Exempt
CN,CN,MAT_100968,MAT_100968,Incyte,Charles Harvey,16,45,Cleared
GLOBAL_CORP,GLOBAL_CORP,MAT_100782,MAT_100782,Direct Distribution,Paul Flores Jr.,22,14,Cleared
FR,FR,MAT_100297,MAT_100297,Partner,Sarah Potter,33,37,Cleared
AU,AU,MAT_100842,MAT_100842,Partner,Ashley Jackson,7,25,Pending
ES,ES,MAT_100193,MAT_100193,Affiliate,Mrs. Katherine York,7,31,Exempt
JP,JP,MAT_100525,MAT_100525,Direct Distribution,Shawn Downs,18,15,Cleared
ES,ES,MAT_100599,MAT_100599,Partner,William Rivera,31,8,Cleared
AU,AU,MAT_100029,MAT_100029,Affiliate,Katie Anderson,8,37,Exempt
GB,GB,MAT_100916,MAT_100916,Affiliate,Michelle Smith,26,39,Pending
IT,IT,MAT_100642,MAT_100642,Direct Distribution,Tyler Lee,34,43,Cleared
JP,JP,MAT_100177,MAT_100177,Incyte,Tami Chang,23,22,Exempt
BR,BR,MAT_100383,MAT_100383,Incyte,John Brown,28,43,Exempt
APAC_REG,APAC_REG,MAT_100822,MAT_100822,Direct Distribution,Sheila Smith,30,33,Cleared
US,US,MAT_100971,MAT_100971,Partner,Kristen Joseph,16,5,Cleared
CN,CN,MAT_100081,MAT_100081,Incyte,Desiree Dennis,17,11,Exempt
SG,SG,MAT_100585,MAT_100585,Partner,Carrie Robinson,19,39,Exempt
LATAM_REG,LATAM_REG,MAT_100898,MAT_100898,Direct Distribution,Dillon Williams MD,23,2,Pending
CA,CA,MAT_100911,MAT_100911,Affiliate,Ashley Johnson,11,20,Pending
IT,IT,MAT_100792,MAT_100792,Partner,Zachary Snow,35,4,Pending
ES,ES,MAT_100872,MAT_100872,Affiliate,Wendy Cole,11,38,Cleared
BR,BR,MAT_100367,MAT_100367,Partner,Jennifer Love,10,38,Exempt
ES,ES,MAT_100079,MAT_100079,Partner,Michael Parker,15,40,Exempt
CA,CA,MAT_100015,MAT_100015,Affiliate,Stephanie Ibarra,21,20,Exempt
CN,CN,MAT_100765,MAT_100765,Partner,Dr. Michelle Freeman MD,6,27,Pending
FR,FR,MAT_100317,MAT_100317,Partner,Susan Ruiz,22,14,Pending
IN,IN,MAT_100197,MAT_100197,Incyte,Thomas Brown,36,9,Cleared
AU,AU,MAT_100513,MAT_100513,Partner,Mr. Brandon West,18,18,Exempt
DE,DE,MAT_100441,MAT_100441,Partner,Jason Acevedo,30,43,Pending
JP,JP,MAT_100597,MAT_100597,Incyte,Leah Valentine,23,9,Pending
JP,JP,MAT_100969,MAT_100969,Incyte,Douglas Preston,21,40,Pending
DE,DE,MAT_100889,MAT_100889,Direct Distribution,Lisa Underwood,25,45,Cleared
CH,CH,MAT_100037,MAT_100037,Direct Distribution,Gary Allen,19,22,Cleared
BR,BR,MAT_100149,MAT_100149,Incyte,David Cantrell,26,16,Exempt
AMER_REG,AMER_REG,MAT_100514,MAT_100514,Partner,Christina Crawford,30,25,Exempt
AU,AU,MAT_100744,MAT_100744,Partner,Adam Johnson,16,39,Pending
JP,JP,MAT_100968,MAT_100968,Partner,Stephanie Diaz,33,36,Pending
US,US,MAT_100275,MAT_100275,Affiliate,John Vasquez,20,2,Cleared
ES,ES,MAT_100036,MAT_100036,Partner,Andrew Jones,8,39,Exempt
AMER_REG,AMER_REG,MAT_100948,MAT_100948,Incyte,Brittany Watkins,15,3,Exempt
APAC_REG,APAC_REG,MAT_100569,MAT_100569,Affiliate,Scott Delgado,14,10,Cleared
AMER_REG,AMER_REG,MAT_100711,MAT_100711,Partner,Sharon Newton,33,31,Exempt
JP,JP,MAT_100296,MAT_100296,Partner,Andrew Murphy,15,41,Cleared
GB,GB,MAT_100892,MAT_100892,Direct Distribution,Sean Huffman,24,3,Cleared
ES,ES,MAT_100534,MAT_100534,Direct Distribution,Samantha Doyle,7,14,Cleared
BR,BR,MAT_100049,MAT_100049,Incyte,Laura Green,27,38,Cleared
ES,ES,MAT_100791,MAT_100791,Incyte,Michelle Lester,36,12,Cleared
AU,AU,MAT_100627,MAT_100627,Affiliate,Peter Garrett,29,18,Exempt
GLOBAL_CORP,GLOBAL_CORP,MAT_100391,MAT_100391,Affiliate,Brandon Davis,6,18,Cleared
GLOBAL_CORP,GLOBAL_CORP,MAT_100532,MAT_100532,Direct Distribution,Dr. Amy Lee MD,6,37,Cleared
LATAM_REG,LATAM_REG,MAT_100755,MAT_100755,Direct Distribution,Matthew Howe MD,10,18,Cleared
FR,FR,MAT_100638,MAT_100638,Affiliate,Kari Singleton,12,8,Cleared
JP,JP,MAT_100748,MAT_100748,Direct Distribution,Carol Williams,25,5,Exempt
AU,AU,MAT_100772,MAT_100772,Incyte,Molly Nguyen DDS,19,34,Pending
DE,DE,MAT_100378,MAT_100378,Direct Distribution,Jeanne May,7,32,Pending
US,US,MAT_100715,MAT_100715,Affiliate,Claire Turner,21,14,Pending
LATAM_REG,LATAM_REG,MAT_100376,MAT_100376,Partner,Alicia Gonzalez,9,8,Cleared
FR,FR,MAT_100988,MAT_100988,Direct Distribution,Michael Brandt,12,20,Exempt
SG,SG,MAT_100341,MAT_100341,Affiliate,Anthony Hendricks,34,18,Cleared
IT,IT,MAT_100597,MAT_100597,Affiliate,Michelle Tucker DVM,7,18,Pending
US,US,MAT_100784,MAT_100784,Affiliate,Carly Johnson,9,38,Exempt
GB,GB,MAT_100884,MAT_100884,Partner,Frank Riggs,13,35,Pending
NL,NL,MAT_100248,MAT_100248,Affiliate,Michael Woods,9,18,Exempt
CA,CA,MAT_100304,MAT_100304,Affiliate,Michael Kim,18,13,Exempt
FR,FR,MAT_100521,MAT_100521,Incyte,Janice Davis,8,7,Cleared
AU,AU,MAT_100111,MAT_100111,Incyte,Michael Meza,23,15,Cleared
IN,IN,MAT_100536,MAT_100536,Affiliate,Joanne Hill,28,33,Exempt
LATAM_REG,LATAM_REG,MAT_100442,MAT_100442,Affiliate,Seth Sanders,30,11,Pending
LATAM_REG,LATAM_REG,MAT_100548,MAT_100548,Incyte,Mrs. Kimberly Kane,24,41,Exempt
GLOBAL_CORP,GLOBAL_CORP,MAT_100354,MAT_100354,Partner,Jennifer Padilla,7,36,Cleared
CN,CN,MAT_100283,MAT_100283,Direct Distribution,Antonio Murphy,18,25,Exempt
EMEA_REG,EMEA_REG,MAT_100386,MAT_100386,Affiliate,Erica Ramsey,21,42,Cleared
DE,DE,MAT_100576,MAT_100576,Partner,Brian Smith,23,40,Pending
CN,CN,MAT_100296,MAT_100296,Affiliate,Richard Aguilar,32,42,Pending
NL,NL,MAT_100555,MAT_100555,Affiliate,Scott Hall,27,45,Pending
EMEA_REG,EMEA_REG,MAT_100299,MAT_100299,Incyte,Susan Travis,11,36,Cleared
CA,CA,MAT_100177,MAT_100177,Incyte,Cody Hanna,31,17,Exempt
GLOBAL_CORP,GLOBAL_CORP,MAT_100424,MAT_100424,Partner,Aaron Buck,6,38,Exempt
CH,CH,MAT_100975,MAT_100975,Partner,Craig Rogers,30,11,Cleared
ES,ES,MAT_100878,MAT_100878,Partner,Carly Anthony,19,4,Cleared
APAC_REG,APAC_REG,MAT_100129,MAT_100129,Direct Distribution,Robert Hill,6,24,Exempt
CA,CA,MAT_100020,MAT_100020,Affiliate,Darin Jackson,7,38,Pending
GLOBAL_CORP,GLOBAL_CORP,MAT_100640,MAT_100640,Incyte,Brittney Dixon,31,23,Cleared
AMER_REG,AMER_REG,MAT_100674,MAT_100674,Incyte,Karen Sanford,7,6,Pending
AU,AU,MAT_100844,MAT_100844,Direct Distribution,Matthew Schneider,23,13,Pending
DE,DE,MAT_100991,MAT_100991,Incyte,April Mitchell,11,19,Cleared
CN,CN,MAT_100200,MAT_100200,Affiliate,Heather Clark,34,18,Cleared
GB,GB,MAT_100920,MAT_100920,Direct Distribution,Erik Shepherd,36,45,Pending
AMER_REG,AMER_REG,MAT_100702,MAT_100702,Partner,Mary Washington,23,16,Exempt
US,US,MAT_100855,MAT_100855,Affiliate,Joe Allen,36,41,Cleared
GLOBAL_CORP,GLOBAL_CORP,MAT_100976,MAT_100976,Direct Distribution,Joseph Petersen,10,26,Pending
LATAM_REG,LATAM_REG,MAT_100367,MAT_100367,Incyte,Emily Randall,20,37,Exempt
CH,CH,MAT_100625,MAT_100625,Affiliate,Brian Roman,6,21,Exempt
EMEA_REG,EMEA_REG,MAT_100544,MAT_100544,Incyte,Kevin Bryan,28,21,Exempt
AMER_REG,AMER_REG,MAT_100139,MAT_100139,Direct Distribution,Brandon Herrera,33,37,Pending
BR,BR,MAT_100747,MAT_100747,Partner,Jeanne Griffin MD,12,33,Exempt
ES,ES,MAT_100751,MAT_100751,Partner,Jacob Thomas,18,13,Cleared
CA,CA,MAT_100213,MAT_100213,Direct Distribution,Karen Garcia,9,33,Pending
ES,ES,MAT_100133,MAT_100133,Incyte,Briana French,6,43,Pending
CA,CA,MAT_100745,MAT_100745,Partner,David Turner,21,6,Exempt
FR,FR,MAT_100200,MAT_100200,Partner,Anna Wiggins,12,9,Exempt
CN,CN,MAT_100225,MAT_100225,Affiliate,David Perry,15,28,Pending
NL,NL,MAT_100700,MAT_100700,Incyte,Theresa Black,6,16,Cleared
CA,CA,MAT_100085,MAT_100085,Partner,April Gallegos,6,15,Exempt
BR,BR,MAT_100325,MAT_100325,Incyte,Jonathan West,36,18,Pending
US,US,MAT_100725,MAT_100725,Partner,Paula Saunders,32,29,Pending
APAC_REG,APAC_REG,MAT_100738,MAT_100738,Direct Distribution,Annette Tucker,21,38,Pending
DE,DE,MAT_100361,MAT_100361,Partner,Shelley Reyes,12,20,Pending
IN,IN,MAT_100265,MAT_100265,Affiliate,Melanie Douglas,35,7,Exempt
AMER_REG,AMER_REG,MAT_100324,MAT_100324,Affiliate,John Brown,24,40,Cleared
FR,FR,MAT_100573,MAT_100573,Partner,Jeffrey Lyons,9,14,Pending
AMER_REG,AMER_REG,MAT_100730,MAT_100730,Affiliate,Jake Lambert,13,37,Cleared
ES,ES,MAT_100209,MAT_100209,Affiliate,Jessica Wade,19,14,Pending
DE,DE,MAT_100460,MAT_100460,Direct Distribution,Cynthia Jones,17,34,Exempt
BR,BR,MAT_100001,MAT_100001,Affiliate,Mark Smith,9,8,Cleared
IT,IT,MAT_100750,MAT_100750,Affiliate,David Sanchez,18,17,Exempt
AU,AU,MAT_100833,MAT_100833,Direct Distribution,Jared Johnson PhD,34,20,Exempt
JP,JP,MAT_100824,MAT_100824,Direct Distribution,Jennifer Watts,9,21,Cleared
